id,grado,nivel,scores,tiempo,resultado,juego
1946,4,2,20,45,NO APRENDIO,2
1947,1,3,3,7,APRENDIO,2
1948,2,1,27,6,NO APRENDIO,2
1949,2,2,26,39,NO APRENDIO,2
1950,3,2,18,24,NO APRENDIO,2
1951,2,1,21,49,NO APRENDIO,2
1952,5,2,12,50,NO APRENDIO,2
1953,6,1,18,1,NO APRENDIO,2
1954,1,2,19,45,NO APRENDIO,2
1955,6,2,23,49,NO APRENDIO,2
1956,6,1,8,16,NO APRENDIO,2
1957,4,2,29,32,NO APRENDIO,2
1958,6,1,14,45,NO APRENDIO,2
1959,5,3,24,44,NO APRENDIO,2
1960,2,1,16,18,NO APRENDIO,2
1961,6,3,14,1,NO APRENDIO,2
1962,2,2,20,20,NO APRENDIO,2
1963,4,3,4,23,APRENDIO,2
1964,6,3,9,6,APRENDIO,2
1965,5,2,3,3,APRENDIO,2
1966,3,3,25,47,NO APRENDIO,2
1967,2,3,11,38,NO APRENDIO,2
1968,1,2,7,16,NO APRENDIO,2
1969,3,1,26,8,NO APRENDIO,2
1970,1,1,10,28,NO APRENDIO,2
1971,6,3,19,11,NO APRENDIO,2
1972,4,3,2,6,APRENDIO,2
1973,3,2,21,11,NO APRENDIO,2
1974,2,2,16,6,NO APRENDIO,2
1975,6,3,1,26,APRENDIO,2
1976,5,3,28,50,NO APRENDIO,2
1977,2,2,22,14,NO APRENDIO,2
1978,3,2,17,46,NO APRENDIO,2
1979,1,1,15,13,NO APRENDIO,2
1980,5,1,12,29,NO APRENDIO,2
1981,3,1,29,10,NO APRENDIO,2
1982,1,3,16,43,NO APRENDIO,2
1983,4,3,25,1,NO APRENDIO,2
1984,1,2,28,27,NO APRENDIO,2
1985,2,1,24,30,NO APRENDIO,2
1986,3,1,11,6,NO APRENDIO,2
1987,1,1,6,14,NO APRENDIO,2
1988,1,3,11,1,NO APRENDIO,2
1989,2,2,30,15,NO APRENDIO,2
1990,6,3,17,26,NO APRENDIO,2
1991,1,2,29,19,NO APRENDIO,2
1992,5,1,28,17,NO APRENDIO,2
1993,4,3,6,48,NO APRENDIO,2
1994,4,1,21,5,NO APRENDIO,2
1995,4,1,8,1,NO APRENDIO,2
1996,3,3,12,9,NO APRENDIO,2
1997,1,3,27,50,NO APRENDIO,2
1998,1,1,25,18,NO APRENDIO,2
1999,1,3,17,36,NO APRENDIO,2
2000,2,2,17,10,NO APRENDIO,2
2001,3,3,1,39,NO APRENDIO,2
2002,2,3,4,17,APRENDIO,2
2003,2,2,25,38,NO APRENDIO,2
2004,4,3,3,6,APRENDIO,2
2005,6,1,21,43,NO APRENDIO,2
2006,3,1,4,17,NO APRENDIO,2
2007,2,1,5,19,NO APRENDIO,2
2008,3,3,18,47,NO APRENDIO,2
2009,2,3,4,42,NO APRENDIO,2
2010,1,1,14,40,NO APRENDIO,2
2011,6,1,16,1,NO APRENDIO,2
2012,4,1,18,4,NO APRENDIO,2
2013,2,3,26,47,NO APRENDIO,2
2014,2,2,4,39,NO APRENDIO,2
2015,5,1,4,22,NO APRENDIO,2
2016,3,2,30,30,NO APRENDIO,2
2017,5,1,30,47,NO APRENDIO,2
2018,3,1,22,49,NO APRENDIO,2
2019,2,1,25,48,NO APRENDIO,2
2020,5,3,4,26,APRENDIO,2
2021,6,1,21,24,NO APRENDIO,2
2022,1,1,28,17,NO APRENDIO,2
2023,5,2,3,30,NO APRENDIO,2
2024,2,2,5,43,NO APRENDIO,2
2025,6,1,19,40,NO APRENDIO,2
2026,4,1,27,44,NO APRENDIO,2
2027,5,1,11,40,NO APRENDIO,2
2028,1,2,18,26,NO APRENDIO,2
2029,5,1,16,12,NO APRENDIO,2
2030,2,1,15,11,NO APRENDIO,2
2031,2,2,25,6,NO APRENDIO,2
2032,5,3,4,16,APRENDIO,2
2033,1,3,30,30,NO APRENDIO,2
2034,5,2,27,39,NO APRENDIO,2
2035,4,1,1,43,NO APRENDIO,2
2036,1,3,29,8,NO APRENDIO,2
2037,3,3,19,16,NO APRENDIO,2
2038,6,1,6,35,NO APRENDIO,2
2039,2,2,23,18,NO APRENDIO,2
2040,5,1,4,30,NO APRENDIO,2
2041,5,2,14,26,NO APRENDIO,2
2042,5,2,18,50,NO APRENDIO,2
2043,1,3,8,26,APRENDIO,2
2044,6,3,10,9,NO APRENDIO,2
2045,6,1,20,19,NO APRENDIO,2
2046,3,3,1,38,NO APRENDIO,2
2047,6,2,21,34,NO APRENDIO,2
2048,4,1,22,48,NO APRENDIO,2
2049,6,2,23,24,NO APRENDIO,2
2050,2,2,12,38,NO APRENDIO,2
2051,5,3,13,32,NO APRENDIO,2
2052,3,2,18,7,NO APRENDIO,2
2053,3,1,6,44,NO APRENDIO,2
2054,5,3,15,48,NO APRENDIO,2
2055,1,3,2,29,APRENDIO,2
2056,2,1,29,21,NO APRENDIO,2
2057,2,1,30,42,NO APRENDIO,2
2058,3,1,27,6,NO APRENDIO,2
2059,6,3,13,45,NO APRENDIO,2
2060,1,1,1,32,NO APRENDIO,2
2061,1,2,1,13,APRENDIO,2
2062,3,3,20,14,NO APRENDIO,2
2063,3,3,9,16,APRENDIO,2
2064,2,1,16,30,NO APRENDIO,2
2065,2,2,29,24,NO APRENDIO,2
2066,1,2,1,32,NO APRENDIO,2
2067,5,3,6,33,APRENDIO,2
2068,5,2,8,36,NO APRENDIO,2
2069,2,1,15,32,NO APRENDIO,2
2070,6,1,5,50,NO APRENDIO,2
2071,5,2,19,20,NO APRENDIO,2
2072,5,1,28,4,NO APRENDIO,2
2073,1,2,15,40,NO APRENDIO,2
2074,6,3,17,21,NO APRENDIO,2
2075,4,2,25,31,NO APRENDIO,2
2076,4,3,26,46,NO APRENDIO,2
2077,1,1,11,43,NO APRENDIO,2
2078,2,3,13,1,NO APRENDIO,2
2079,5,2,30,10,NO APRENDIO,2
2080,3,3,24,22,NO APRENDIO,2
2081,4,2,29,24,NO APRENDIO,2
2082,4,1,23,16,NO APRENDIO,2
2083,6,1,5,31,NO APRENDIO,2
2084,6,2,28,32,NO APRENDIO,2
2085,1,1,24,45,NO APRENDIO,2
2086,3,1,26,44,NO APRENDIO,2
2087,5,3,4,11,APRENDIO,2
2088,3,3,8,33,APRENDIO,2
2089,4,1,26,38,NO APRENDIO,2
2090,2,3,12,47,NO APRENDIO,2
2091,5,1,29,41,NO APRENDIO,2
2092,1,2,19,35,NO APRENDIO,2
2093,6,1,13,10,NO APRENDIO,2
2094,3,1,9,25,NO APRENDIO,2
2095,3,2,9,50,NO APRENDIO,2
2096,3,2,16,1,NO APRENDIO,2
2097,3,3,2,2,APRENDIO,2
2098,2,2,29,8,NO APRENDIO,2
2099,2,3,4,32,APRENDIO,2
2100,4,1,17,8,NO APRENDIO,2
2101,2,3,23,24,NO APRENDIO,2
2102,5,1,15,48,NO APRENDIO,2
2103,2,1,20,11,NO APRENDIO,2
2104,4,1,8,3,NO APRENDIO,2
2105,4,1,5,2,NO APRENDIO,2
2106,2,2,16,32,NO APRENDIO,2
2107,2,1,7,43,NO APRENDIO,2
2108,3,2,14,40,NO APRENDIO,2
2109,5,3,11,39,NO APRENDIO,2
2110,6,1,30,27,NO APRENDIO,2
2111,3,1,17,1,NO APRENDIO,2
2112,3,1,20,16,NO APRENDIO,2
2113,4,1,16,32,NO APRENDIO,2
2114,6,1,12,38,NO APRENDIO,2
2115,1,3,13,27,NO APRENDIO,2
2116,5,2,10,7,NO APRENDIO,2
2117,1,2,3,40,NO APRENDIO,2
2118,3,2,13,16,NO APRENDIO,2
2119,3,2,7,16,NO APRENDIO,2
2120,4,3,23,33,NO APRENDIO,2
2121,6,1,6,27,NO APRENDIO,2
2122,1,3,22,37,NO APRENDIO,2
2123,5,1,3,49,NO APRENDIO,2
2124,4,1,21,25,NO APRENDIO,2
2125,5,2,3,24,APRENDIO,2
2126,5,1,19,19,NO APRENDIO,2
2127,5,1,2,18,NO APRENDIO,2
2128,2,2,14,37,NO APRENDIO,2
2129,3,1,20,47,NO APRENDIO,2
2130,2,1,19,32,NO APRENDIO,2
2131,1,3,9,16,APRENDIO,2
2132,4,2,9,5,NO APRENDIO,2
2133,1,2,30,48,NO APRENDIO,2
2134,5,3,27,41,NO APRENDIO,2
2135,3,3,21,7,NO APRENDIO,2
2136,3,2,29,49,NO APRENDIO,2
2137,6,1,17,19,NO APRENDIO,2
2138,6,3,18,19,NO APRENDIO,2
2139,1,3,4,34,APRENDIO,2
2140,2,3,3,13,APRENDIO,2
2141,2,1,4,50,NO APRENDIO,2
2142,2,1,22,35,NO APRENDIO,2
2143,4,2,6,4,NO APRENDIO,2
2144,6,2,10,12,NO APRENDIO,2
2145,1,1,16,45,NO APRENDIO,2
2146,1,3,30,20,NO APRENDIO,2
2147,5,3,17,11,NO APRENDIO,2
2148,2,1,2,46,NO APRENDIO,2
2149,5,3,21,7,NO APRENDIO,2
2150,6,2,19,27,NO APRENDIO,2
2151,3,2,28,21,NO APRENDIO,2
2152,1,1,4,47,NO APRENDIO,2
2153,1,2,20,4,NO APRENDIO,2
2154,1,1,25,4,NO APRENDIO,2
2155,1,3,1,26,APRENDIO,2
2156,3,1,16,14,NO APRENDIO,2
2157,1,1,16,42,NO APRENDIO,2
2158,2,1,22,46,NO APRENDIO,2
2159,5,1,29,8,NO APRENDIO,2
2160,5,1,4,5,APRENDIO,2
2161,2,2,4,36,NO APRENDIO,2
2162,5,3,14,12,NO APRENDIO,2
2163,6,2,13,7,NO APRENDIO,2
2164,4,1,23,27,NO APRENDIO,2
2165,5,3,1,4,APRENDIO,2
2166,1,3,29,24,NO APRENDIO,2
2167,5,2,15,20,NO APRENDIO,2
2168,4,1,28,16,NO APRENDIO,2
2169,1,3,21,50,NO APRENDIO,2
2170,5,1,6,8,NO APRENDIO,2
2171,2,2,7,40,NO APRENDIO,2
2172,1,3,14,32,NO APRENDIO,2
2173,2,1,8,16,NO APRENDIO,2
2174,1,1,13,41,NO APRENDIO,2
2175,1,2,7,34,NO APRENDIO,2
2176,6,1,13,11,NO APRENDIO,2
2177,1,2,10,50,NO APRENDIO,2
2178,2,2,13,45,NO APRENDIO,2
2179,1,3,6,16,APRENDIO,2
2180,4,2,14,11,NO APRENDIO,2
2181,6,1,5,13,NO APRENDIO,2
2182,6,3,5,35,APRENDIO,2
2183,1,1,5,44,NO APRENDIO,2
2184,6,2,6,24,NO APRENDIO,2
2185,5,1,5,3,NO APRENDIO,2
2186,1,3,28,13,NO APRENDIO,2
2187,6,2,19,49,NO APRENDIO,2
2188,4,2,15,45,NO APRENDIO,2
2189,3,1,21,4,NO APRENDIO,2
2190,2,2,30,30,NO APRENDIO,2
2191,5,3,16,19,NO APRENDIO,2
2192,4,3,22,22,NO APRENDIO,2
2193,6,1,3,27,NO APRENDIO,2
2194,3,1,21,40,NO APRENDIO,2
2195,6,3,22,8,NO APRENDIO,2
2196,5,1,5,15,NO APRENDIO,2
2197,5,2,15,38,NO APRENDIO,2
2198,1,3,3,10,APRENDIO,2
2199,4,2,30,6,NO APRENDIO,2
2200,3,3,29,9,NO APRENDIO,2
2201,1,1,8,14,NO APRENDIO,2
2202,6,1,17,49,NO APRENDIO,2
2203,2,3,30,21,NO APRENDIO,2
2204,4,2,10,34,NO APRENDIO,2
2205,5,2,17,30,NO APRENDIO,2
2206,4,2,2,21,APRENDIO,2
2207,6,2,8,3,NO APRENDIO,2
2208,5,1,25,26,NO APRENDIO,2
2209,6,3,23,25,NO APRENDIO,2
2210,3,2,6,35,NO APRENDIO,2
2211,4,3,25,25,NO APRENDIO,2
2212,6,3,19,8,NO APRENDIO,2
2213,5,1,3,49,NO APRENDIO,2
2214,6,2,26,12,NO APRENDIO,2
2215,4,1,15,22,NO APRENDIO,2
2216,4,3,22,12,NO APRENDIO,2
2217,2,1,3,35,NO APRENDIO,2
2218,5,1,23,42,NO APRENDIO,2
2219,1,1,28,5,NO APRENDIO,2
2220,6,1,27,37,NO APRENDIO,2
2221,4,2,15,36,NO APRENDIO,2
2222,2,3,19,10,NO APRENDIO,2
2223,1,2,16,37,NO APRENDIO,2
2224,3,3,1,14,APRENDIO,2
2225,6,2,27,38,NO APRENDIO,2
2226,6,2,27,21,NO APRENDIO,2
2227,1,1,19,46,NO APRENDIO,2
2228,2,2,15,20,NO APRENDIO,2
2229,4,1,29,31,NO APRENDIO,2
2230,4,2,2,39,NO APRENDIO,2
2231,5,3,12,39,NO APRENDIO,2
2232,3,3,6,1,APRENDIO,2
2233,5,1,13,26,NO APRENDIO,2
2234,5,2,29,19,NO APRENDIO,2
2235,5,3,7,9,APRENDIO,2
2236,3,3,11,6,NO APRENDIO,2
2237,2,3,15,36,NO APRENDIO,2
2238,2,2,22,16,NO APRENDIO,2
2239,1,2,12,14,NO APRENDIO,2
2240,5,1,6,20,NO APRENDIO,2
2241,1,3,22,46,NO APRENDIO,2
2242,4,2,17,35,NO APRENDIO,2
2243,4,3,27,13,NO APRENDIO,2
2244,6,2,21,6,NO APRENDIO,2
2245,5,3,3,4,APRENDIO,2
2246,2,3,4,9,APRENDIO,2
2247,4,3,16,15,NO APRENDIO,2
2248,6,1,15,40,NO APRENDIO,2
2249,1,1,6,48,NO APRENDIO,2
2250,4,1,29,50,NO APRENDIO,2
2251,3,2,19,43,NO APRENDIO,2
2252,6,1,17,46,NO APRENDIO,2
2253,5,3,21,8,NO APRENDIO,2
2254,2,2,8,26,NO APRENDIO,2
2255,3,3,20,14,NO APRENDIO,2
2256,1,2,29,8,NO APRENDIO,2
2257,3,2,3,26,NO APRENDIO,2
2258,4,1,19,25,NO APRENDIO,2
2259,5,1,11,49,NO APRENDIO,2
2260,6,1,25,47,NO APRENDIO,2
2261,3,3,1,5,APRENDIO,2
2262,3,3,9,38,NO APRENDIO,2
2263,3,3,12,15,NO APRENDIO,2
2264,1,1,3,22,NO APRENDIO,2
2265,3,2,7,10,NO APRENDIO,2
2266,4,1,15,21,NO APRENDIO,2
2267,3,3,21,36,NO APRENDIO,2
2268,2,1,15,13,NO APRENDIO,2
2269,4,2,23,49,NO APRENDIO,2
2270,4,1,8,27,NO APRENDIO,2
2271,6,3,3,10,APRENDIO,2
2272,1,1,12,28,NO APRENDIO,2
2273,4,1,7,41,NO APRENDIO,2
2274,2,2,8,10,NO APRENDIO,2
2275,3,3,22,27,NO APRENDIO,2
2276,6,2,25,45,NO APRENDIO,2
2277,1,2,12,27,NO APRENDIO,2
2278,6,1,20,7,NO APRENDIO,2
2279,6,2,16,45,NO APRENDIO,2
2280,3,2,3,35,NO APRENDIO,2
2281,3,2,30,23,NO APRENDIO,2
2282,2,3,8,24,APRENDIO,2
2283,6,1,27,30,NO APRENDIO,2
2284,2,3,10,25,NO APRENDIO,2
2285,3,1,2,20,NO APRENDIO,2
2286,3,2,22,26,NO APRENDIO,2
2287,5,2,15,39,NO APRENDIO,2
2288,1,1,26,5,NO APRENDIO,2
2289,3,2,22,46,NO APRENDIO,2
2290,3,1,10,45,NO APRENDIO,2
2291,6,2,18,34,NO APRENDIO,2
2292,6,3,5,13,APRENDIO,2
2293,2,2,22,45,NO APRENDIO,2
2294,2,1,30,34,NO APRENDIO,2
2295,5,2,2,14,APRENDIO,2
2296,2,2,29,1,NO APRENDIO,2
2297,6,2,8,50,NO APRENDIO,2
2298,1,3,25,29,NO APRENDIO,2
2299,4,3,21,17,NO APRENDIO,2
2300,1,1,20,38,NO APRENDIO,2
2301,4,2,11,44,NO APRENDIO,2
2302,3,2,12,7,NO APRENDIO,2
2303,2,2,28,28,NO APRENDIO,2
2304,3,2,30,15,NO APRENDIO,2
2305,4,2,30,9,NO APRENDIO,2
2306,2,3,10,44,NO APRENDIO,2
2307,4,1,25,23,NO APRENDIO,2
2308,2,1,7,47,NO APRENDIO,2
2309,5,2,14,45,NO APRENDIO,2
2310,4,2,11,18,NO APRENDIO,2
2311,2,2,17,2,NO APRENDIO,2
2312,3,2,7,43,NO APRENDIO,2
2313,2,3,28,12,NO APRENDIO,2
2314,6,3,5,34,APRENDIO,2
2315,5,2,20,16,NO APRENDIO,2
2316,5,3,26,33,NO APRENDIO,2
2317,3,2,9,1,NO APRENDIO,2
2318,3,2,15,48,NO APRENDIO,2
2319,6,1,20,47,NO APRENDIO,2
2320,1,1,19,11,NO APRENDIO,2
2321,4,2,11,10,NO APRENDIO,2
2322,5,2,24,42,NO APRENDIO,2
2323,1,1,8,25,NO APRENDIO,2
2324,4,3,1,10,APRENDIO,2
2325,6,3,14,49,NO APRENDIO,2
2326,1,1,29,48,NO APRENDIO,2
2327,4,3,18,29,NO APRENDIO,2
2328,6,2,29,37,NO APRENDIO,2
2329,1,1,24,11,NO APRENDIO,2
2330,1,1,18,19,NO APRENDIO,2
2331,6,1,19,27,NO APRENDIO,2
2332,6,3,6,4,APRENDIO,2
2333,5,2,18,23,NO APRENDIO,2
2334,3,3,14,7,NO APRENDIO,2
2335,3,1,23,23,NO APRENDIO,2
2336,1,2,19,47,NO APRENDIO,2
2337,5,2,17,43,NO APRENDIO,2
2338,5,3,8,42,NO APRENDIO,2
2339,1,3,10,12,NO APRENDIO,2
2340,3,3,13,48,NO APRENDIO,2
2341,4,1,16,40,NO APRENDIO,2
2342,1,1,8,36,NO APRENDIO,2
2343,5,1,22,23,NO APRENDIO,2
2344,6,3,3,26,APRENDIO,2
2345,1,2,9,42,NO APRENDIO,2
2346,5,3,3,13,APRENDIO,2
2347,6,2,13,25,NO APRENDIO,2
2348,5,2,20,28,NO APRENDIO,2
2349,5,2,7,8,NO APRENDIO,2
2350,4,2,25,9,NO APRENDIO,2
2351,1,3,6,7,APRENDIO,2
2352,5,2,7,8,NO APRENDIO,2
2353,1,2,5,36,NO APRENDIO,2
2354,6,2,26,43,NO APRENDIO,2
2355,4,1,28,5,NO APRENDIO,2
2356,6,2,16,41,NO APRENDIO,2
2357,1,3,22,26,NO APRENDIO,2
2358,1,1,4,45,NO APRENDIO,2
2359,5,2,4,1,APRENDIO,2
2360,1,3,15,46,NO APRENDIO,2
2361,1,1,23,9,NO APRENDIO,2
2362,1,2,29,17,NO APRENDIO,2
2363,2,2,20,2,NO APRENDIO,2
2364,3,3,21,26,NO APRENDIO,2
2365,6,3,11,36,NO APRENDIO,2
2366,6,2,11,6,NO APRENDIO,2
2367,2,1,29,14,NO APRENDIO,2
2368,4,3,22,24,NO APRENDIO,2
2369,4,2,20,23,NO APRENDIO,2
2370,6,1,10,29,NO APRENDIO,2
2371,2,3,8,1,APRENDIO,2
2372,4,1,6,47,NO APRENDIO,2
2373,3,1,28,44,NO APRENDIO,2
2374,3,1,11,37,NO APRENDIO,2
2375,2,2,18,42,NO APRENDIO,2
2376,2,2,22,32,NO APRENDIO,2
2377,4,3,7,29,APRENDIO,2
2378,3,3,17,35,NO APRENDIO,2
2379,5,2,8,7,NO APRENDIO,2
2380,1,2,17,22,NO APRENDIO,2
2381,2,1,1,2,APRENDIO,2
2382,4,1,16,7,NO APRENDIO,2
2383,1,1,16,17,NO APRENDIO,2
2384,3,3,2,32,APRENDIO,2
2385,6,1,27,37,NO APRENDIO,2
2386,4,1,3,31,NO APRENDIO,2
2387,6,2,1,22,APRENDIO,2
2388,1,3,28,14,NO APRENDIO,2
2389,5,3,9,32,APRENDIO,2
2390,1,1,19,45,NO APRENDIO,2
2391,3,3,6,48,NO APRENDIO,2
2392,4,1,12,41,NO APRENDIO,2
2393,6,1,7,25,NO APRENDIO,2
2394,4,1,12,13,NO APRENDIO,2
2395,3,1,18,37,NO APRENDIO,2
2396,2,1,5,11,NO APRENDIO,2
2397,6,1,13,25,NO APRENDIO,2
2398,4,1,6,41,NO APRENDIO,2
2399,6,3,13,4,NO APRENDIO,2
2400,4,3,28,14,NO APRENDIO,2
2401,4,3,16,16,NO APRENDIO,2
2402,3,1,28,19,NO APRENDIO,2
2403,1,2,10,37,NO APRENDIO,2
2404,6,1,28,41,NO APRENDIO,2
2405,1,2,28,26,NO APRENDIO,2
2406,4,2,30,11,NO APRENDIO,2
2407,3,1,16,30,NO APRENDIO,2
2408,5,1,27,24,NO APRENDIO,2
2409,2,3,28,2,NO APRENDIO,2
2410,4,2,27,3,NO APRENDIO,2
2411,3,2,21,8,NO APRENDIO,2
2412,3,1,18,14,NO APRENDIO,2
2413,4,1,3,37,NO APRENDIO,2
2414,3,2,24,23,NO APRENDIO,2
2415,4,2,4,21,APRENDIO,2
2416,3,3,28,48,NO APRENDIO,2
2417,1,2,11,23,NO APRENDIO,2
2418,4,3,7,42,NO APRENDIO,2
2419,5,3,12,25,NO APRENDIO,2
2420,5,2,25,14,NO APRENDIO,2
2421,1,3,22,34,NO APRENDIO,2
2422,4,3,25,27,NO APRENDIO,2
2423,6,1,1,5,APRENDIO,2
2424,3,3,7,32,APRENDIO,2
2425,4,3,15,41,NO APRENDIO,2
2426,2,1,15,10,NO APRENDIO,2
2427,5,2,22,5,NO APRENDIO,2
2428,6,3,4,49,NO APRENDIO,2
2429,4,1,13,16,NO APRENDIO,2
2430,4,2,6,2,NO APRENDIO,2
2431,3,1,18,21,NO APRENDIO,2
2432,3,3,10,23,NO APRENDIO,2
2433,4,2,6,23,NO APRENDIO,2
2434,1,2,18,26,NO APRENDIO,2
2435,5,2,8,35,NO APRENDIO,2
2436,5,3,1,19,APRENDIO,2
2437,2,1,3,9,APRENDIO,2
2438,5,3,13,43,NO APRENDIO,2
2439,4,2,12,24,NO APRENDIO,2
2440,1,1,17,10,NO APRENDIO,2
2441,2,1,24,13,NO APRENDIO,2
2442,5,2,4,49,NO APRENDIO,2
2443,2,3,17,21,NO APRENDIO,2
2444,1,3,26,5,NO APRENDIO,2
2445,4,1,20,33,NO APRENDIO,2
2446,4,2,2,8,APRENDIO,2
2447,5,3,12,19,NO APRENDIO,2
2448,2,1,7,28,NO APRENDIO,2
2449,2,1,13,19,NO APRENDIO,2
2450,2,1,23,18,NO APRENDIO,2
2451,3,2,7,45,NO APRENDIO,2
2452,6,1,27,43,NO APRENDIO,2
2453,3,3,21,13,NO APRENDIO,2
2454,3,1,23,5,NO APRENDIO,2
2455,6,1,2,16,NO APRENDIO,2
2456,6,1,7,16,NO APRENDIO,2
2457,5,3,3,40,NO APRENDIO,2
2458,4,2,14,49,NO APRENDIO,2
2459,3,3,17,11,NO APRENDIO,2
2460,5,2,15,2,NO APRENDIO,2
2461,1,1,18,7,NO APRENDIO,2
2462,5,1,21,10,NO APRENDIO,2
2463,1,1,25,41,NO APRENDIO,2
2464,2,2,13,19,NO APRENDIO,2
2465,5,2,19,23,NO APRENDIO,2
2466,3,3,21,39,NO APRENDIO,2
2467,3,2,21,43,NO APRENDIO,2
2468,5,3,27,37,NO APRENDIO,2
2469,2,1,23,18,NO APRENDIO,2
2470,3,1,4,46,NO APRENDIO,2
2471,3,3,22,32,NO APRENDIO,2
2472,4,1,8,25,NO APRENDIO,2
2473,6,1,24,12,NO APRENDIO,2
2474,2,2,17,39,NO APRENDIO,2
2475,5,1,23,10,NO APRENDIO,2
2476,5,1,29,2,NO APRENDIO,2
2477,6,3,26,1,NO APRENDIO,2
2478,4,1,20,35,NO APRENDIO,2
2479,3,3,9,27,APRENDIO,2
2480,2,2,24,9,NO APRENDIO,2
2481,1,3,5,27,APRENDIO,2
2482,6,1,6,11,NO APRENDIO,2
2483,4,1,25,29,NO APRENDIO,2
2484,5,2,21,33,NO APRENDIO,2
2485,2,3,23,16,NO APRENDIO,2
2486,5,2,27,2,NO APRENDIO,2
2487,1,3,9,20,APRENDIO,2
2488,4,2,18,26,NO APRENDIO,2
2489,5,2,3,12,APRENDIO,2
2490,6,2,30,17,NO APRENDIO,2
2491,1,3,1,28,APRENDIO,2
2492,3,3,22,6,NO APRENDIO,2
2493,4,3,12,17,NO APRENDIO,2
2494,3,3,19,13,NO APRENDIO,2
2495,6,3,19,35,NO APRENDIO,2
2496,5,2,9,20,NO APRENDIO,2
2497,4,1,22,7,NO APRENDIO,2
2498,1,1,15,38,NO APRENDIO,2
2499,2,2,23,18,NO APRENDIO,2
2500,1,3,20,1,NO APRENDIO,2
2501,3,2,5,7,APRENDIO,2
2502,5,2,4,9,APRENDIO,2
2503,3,2,7,40,NO APRENDIO,2
2504,4,2,18,45,NO APRENDIO,2
2505,1,1,8,9,NO APRENDIO,2
2506,5,2,23,4,NO APRENDIO,2
2507,6,2,27,49,NO APRENDIO,2
2508,1,3,25,50,NO APRENDIO,2
2509,5,2,19,14,NO APRENDIO,2
2510,5,3,29,11,NO APRENDIO,2
2511,2,1,2,8,APRENDIO,2
2512,3,3,2,37,NO APRENDIO,2
2513,3,3,11,7,NO APRENDIO,2
2514,5,3,2,34,APRENDIO,2
2515,1,1,9,20,NO APRENDIO,2
2516,3,2,1,26,NO APRENDIO,2
2517,2,3,2,43,NO APRENDIO,2
2518,6,1,10,11,NO APRENDIO,2
2519,3,2,25,13,NO APRENDIO,2
2520,5,3,7,12,APRENDIO,2
2521,4,2,11,31,NO APRENDIO,2
2522,2,3,5,4,APRENDIO,2
2523,2,2,28,24,NO APRENDIO,2
2524,5,3,12,21,NO APRENDIO,2
2525,2,1,18,28,NO APRENDIO,2
2526,3,1,4,26,NO APRENDIO,2
2527,1,1,9,33,NO APRENDIO,2
2528,1,1,26,14,NO APRENDIO,2
2529,2,2,10,23,NO APRENDIO,2
2530,4,1,6,30,NO APRENDIO,2
2531,2,2,6,17,NO APRENDIO,2
2532,5,1,8,23,NO APRENDIO,2
2533,3,1,24,15,NO APRENDIO,2
2534,6,3,3,48,NO APRENDIO,2
2535,2,1,6,29,NO APRENDIO,2
2536,1,1,10,17,NO APRENDIO,2
2537,1,3,5,35,APRENDIO,2
2538,5,2,17,40,NO APRENDIO,2
2539,6,2,17,2,NO APRENDIO,2
2540,1,3,17,43,NO APRENDIO,2
2541,1,1,24,23,NO APRENDIO,2
2542,4,1,28,10,NO APRENDIO,2
2543,3,1,13,47,NO APRENDIO,2
2544,4,2,13,5,NO APRENDIO,2
2545,5,2,13,39,NO APRENDIO,2
2546,6,1,20,45,NO APRENDIO,2
2547,6,3,21,41,NO APRENDIO,2
2548,4,3,16,36,NO APRENDIO,2
2549,3,1,28,30,NO APRENDIO,2
2550,2,3,17,49,NO APRENDIO,2
2551,3,1,23,42,NO APRENDIO,2
2552,5,1,10,37,NO APRENDIO,2
2553,1,1,11,16,NO APRENDIO,2
2554,1,1,4,11,APRENDIO,2
2555,3,1,20,34,NO APRENDIO,2
2556,2,2,30,26,NO APRENDIO,2
2557,3,3,29,17,NO APRENDIO,2
2558,5,2,6,37,NO APRENDIO,2
2559,5,3,17,17,NO APRENDIO,2
2560,1,1,13,24,NO APRENDIO,2
2561,4,1,9,2,NO APRENDIO,2
2562,4,3,12,8,NO APRENDIO,2
2563,6,3,7,21,APRENDIO,2
2564,2,1,13,45,NO APRENDIO,2
2565,5,1,22,11,NO APRENDIO,2
2566,3,3,22,41,NO APRENDIO,2
2567,4,2,29,4,NO APRENDIO,2
2568,5,2,6,30,NO APRENDIO,2
2569,6,1,15,4,NO APRENDIO,2
2570,6,1,1,8,APRENDIO,2
2571,2,2,17,5,NO APRENDIO,2
2572,4,1,4,35,NO APRENDIO,2
2573,5,3,21,35,NO APRENDIO,2
2574,6,1,14,7,NO APRENDIO,2
2575,4,1,20,27,NO APRENDIO,2
2576,3,2,3,18,APRENDIO,2
2577,6,1,8,41,NO APRENDIO,2
2578,6,2,29,9,NO APRENDIO,2
2579,6,2,12,11,NO APRENDIO,2
2580,5,1,2,48,NO APRENDIO,2
2581,4,2,10,45,NO APRENDIO,2
2582,3,2,15,21,NO APRENDIO,2
2583,2,2,13,4,NO APRENDIO,2
2584,6,3,22,11,NO APRENDIO,2
2585,5,2,15,35,NO APRENDIO,2
2586,5,3,19,22,NO APRENDIO,2
2587,1,3,28,37,NO APRENDIO,2
