grade,game,level,moves,time,result_test,result_game,time_per_move,move_efficiency
Fourth Grade,Hanoi,3,16,46,Failed,Failed,2.875,1.7777777777777777
Sixth Grade,Hanoi,3,21,24,Failed,Failed,1.1428571428571428,2.3333333333333335
Sixth Grade,Hanoi,2,24,36,Failed,Failed,1.5,4.8
Sixth Grade,Hanoi,2,25,33,Failed,Failed,1.32,5.0
First Grade,Hanoi,2,22,30,Failed,Failed,1.3636363636363635,4.4
Second Grade,Hanoi,3,18,38,Failed,Failed,2.111111111111111,2.0
Third Grade,Hanoi,1,4,27,Failed,Failed,6.75,1.0
Second Grade,Hanoi,2,24,32,Failed,Failed,1.3333333333333333,4.8
Fifth Grade,Hanoi,2,10,16,Failed,Failed,1.6,2.0
First Grade,Hanoi,3,18,41,Failed,Failed,2.2777777777777777,2.0
Sixth Grade,Hanoi,3,16,36,Failed,Failed,2.25,1.7777777777777777
Fifth Grade,Hanoi,2,26,50,Failed,Failed,1.9230769230769231,5.2
Fifth Grade,Hanoi,2,14,35,Failed,Failed,2.5,2.8
Fourth Grade,Hanoi,2,26,48,Failed,Failed,1.8461538461538463,5.2
Third Grade,Hanoi,1,7,46,Failed,Failed,6.571428571428571,1.75
Second Grade,Hanoi,1,3,6,Passed,Passed,2.0,0.75
Second Grade,Hanoi,1,12,30,Failed,Failed,2.5,3.0
Sixth Grade,Hanoi,2,25,43,Failed,Failed,1.72,5.0
Sixth Grade,Hanoi,2,28,39,Failed,Failed,1.3928571428571428,5.6
Sixth Grade,Hanoi,2,8,49,Failed,Failed,6.125,1.6
First Grade,Hanoi,3,24,30,Failed,Failed,1.25,2.6666666666666665
Second Grade,Hanoi,2,8,41,Failed,Failed,5.125,1.6
First Grade,Hanoi,1,30,37,Failed,Failed,1.2333333333333334,7.5
Sixth Grade,Hanoi,2,10,18,Failed,Failed,1.8,2.0
Fifth Grade,Hanoi,1,4,37,Failed,Failed,9.25,1.0
First Grade,Hanoi,1,21,47,Failed,Failed,2.238095238095238,5.25
First Grade,Hanoi,2,26,46,Failed,Failed,1.7692307692307692,5.2
Third Grade,Hanoi,1,5,41,Failed,Failed,8.2,1.25
Second Grade,Hanoi,3,19,34,Failed,Failed,1.7894736842105263,2.111111111111111
Fifth Grade,Hanoi,1,25,29,Failed,Failed,1.16,6.25
Fifth Grade,Hanoi,2,12,32,Failed,Failed,2.6666666666666665,2.4
Fourth Grade,Hanoi,2,14,26,Failed,Failed,1.8571428571428572,2.8
First Grade,Hanoi,1,28,36,Failed,Failed,1.2857142857142858,7.0
Sixth Grade,Hanoi,2,14,15,Failed,Failed,1.0714285714285714,2.8
Fifth Grade,Hanoi,1,8,45,Failed,Failed,5.625,2.0
Fifth Grade,Hanoi,3,29,48,Failed,Failed,1.6551724137931034,3.2222222222222223
Fifth Grade,Hanoi,2,27,50,Failed,Failed,1.8518518518518519,5.4
Third Grade,Hanoi,3,18,39,Failed,Failed,2.1666666666666665,2.0
Fifth Grade,Hanoi,2,9,30,Failed,Failed,3.3333333333333335,1.8
Fourth Grade,Hanoi,1,4,9,Passed,Failed,2.25,1.0
Third Grade,Hanoi,2,13,21,Failed,Failed,1.6153846153846154,2.6
Fourth Grade,Hanoi,1,5,10,Failed,Failed,2.0,1.25
Fourth Grade,Hanoi,1,12,47,Failed,Failed,3.9166666666666665,3.0
Fifth Grade,Hanoi,1,16,44,Failed,Failed,2.75,4.0
Fourth Grade,Hanoi,3,25,37,Failed,Failed,1.48,2.7777777777777777
First Grade,Hanoi,1,21,25,Failed,Failed,1.1904761904761905,5.25
Sixth Grade,Hanoi,3,24,39,Failed,Failed,1.625,2.6666666666666665
Third Grade,Hanoi,1,24,38,Failed,Failed,1.5833333333333333,6.0
Fifth Grade,Hanoi,1,3,15,Passed,Failed,5.0,0.75
Fifth Grade,Hanoi,3,18,29,Failed,Failed,1.6111111111111112,2.0
Third Grade,Hanoi,1,16,23,Failed,Failed,1.4375,4.0
Third Grade,Hanoi,3,19,19,Failed,Failed,1.0,2.111111111111111
Second Grade,Hanoi,1,28,31,Failed,Failed,1.1071428571428572,7.0
Fourth Grade,Hanoi,1,27,30,Failed,Failed,1.1111111111111112,6.75
Fifth Grade,Hanoi,1,16,18,Failed,Failed,1.125,4.0
Sixth Grade,Hanoi,2,26,41,Failed,Failed,1.5769230769230769,5.2
Fifth Grade,Hanoi,3,24,45,Failed,Failed,1.875,2.6666666666666665
First Grade,Hanoi,2,7,42,Failed,Failed,6.0,1.4
First Grade,Hanoi,2,30,47,Failed,Failed,1.5666666666666667,6.0
Fourth Grade,Hanoi,1,14,44,Failed,Failed,3.142857142857143,3.5
Third Grade,Hanoi,2,18,31,Failed,Failed,1.7222222222222223,3.6
Third Grade,Hanoi,1,9,10,Failed,Failed,1.1111111111111112,2.25
Sixth Grade,Hanoi,3,30,50,Failed,Failed,1.6666666666666667,3.3333333333333335
Sixth Grade,Hanoi,3,18,40,Failed,Failed,2.2222222222222223,2.0
Sixth Grade,Hanoi,1,14,33,Failed,Failed,2.357142857142857,3.5
First Grade,Hanoi,2,12,26,Failed,Failed,2.1666666666666665,2.4
Third Grade,Hanoi,2,21,30,Failed,Failed,1.4285714285714286,4.2
Second Grade,Hanoi,2,9,36,Failed,Failed,4.0,1.8
Fourth Grade,Hanoi,1,19,42,Failed,Failed,2.210526315789474,4.75
Fourth Grade,Hanoi,3,16,35,Failed,Failed,2.1875,1.7777777777777777
Sixth Grade,Hanoi,3,18,22,Failed,Failed,1.2222222222222223,2.0
Fourth Grade,Hanoi,1,16,20,Failed,Failed,1.25,4.0
First Grade,Hanoi,2,25,39,Failed,Failed,1.56,5.0
First Grade,Hanoi,3,30,30,Failed,Failed,1.0,3.3333333333333335
Fourth Grade,Hanoi,2,10,12,Failed,Failed,1.2,2.0
Fifth Grade,Hanoi,1,29,43,Failed,Failed,1.4827586206896552,7.25
Third Grade,Hanoi,3,21,35,Failed,Failed,1.6666666666666667,2.3333333333333335
Second Grade,Hanoi,3,28,36,Failed,Failed,1.2857142857142858,3.111111111111111
Second Grade,Hanoi,2,21,23,Failed,Failed,1.0952380952380953,4.2
Fifth Grade,Hanoi,2,13,50,Failed,Failed,3.8461538461538463,2.6
First Grade,Hanoi,3,28,28,Failed,Failed,1.0,3.111111111111111
Fourth Grade,Hanoi,2,20,32,Failed,Failed,1.6,4.0
Fourth Grade,Hanoi,2,22,27,Failed,Failed,1.2272727272727273,4.4
Fifth Grade,Hanoi,2,7,8,Failed,Failed,1.1428571428571428,1.4
Fourth Grade,Hanoi,1,3,6,Passed,Passed,2.0,0.75
Fifth Grade,Hanoi,3,18,41,Failed,Failed,2.2777777777777777,2.0
Fifth Grade,Hanoi,3,24,48,Failed,Failed,2.0,2.6666666666666665
Sixth Grade,Hanoi,3,16,50,Failed,Failed,3.125,1.7777777777777777
Fifth Grade,Hanoi,1,21,28,Failed,Failed,1.3333333333333333,5.25
Second Grade,Hanoi,1,4,49,Failed,Failed,12.25,1.0
Second Grade,Hanoi,1,8,9,Failed,Failed,1.125,2.0
Second Grade,Hanoi,1,3,33,Failed,Failed,11.0,0.75
Second Grade,Hanoi,3,17,27,Failed,Failed,1.588235294117647,1.8888888888888888
Fifth Grade,Hanoi,1,26,48,Failed,Failed,1.8461538461538463,6.5
Second Grade,Hanoi,1,29,35,Failed,Failed,1.206896551724138,7.25
Fourth Grade,Hanoi,3,28,42,Failed,Failed,1.5,3.111111111111111
Fifth Grade,Hanoi,2,29,39,Failed,Failed,1.3448275862068966,5.8
Sixth Grade,Hanoi,2,13,46,Failed,Failed,3.5384615384615383,2.6
Fifth Grade,Hanoi,2,17,29,Failed,Failed,1.7058823529411764,3.4
Fourth Grade,Hanoi,3,19,50,Failed,Failed,2.6315789473684212,2.111111111111111
Second Grade,Hanoi,2,16,32,Failed,Failed,2.0,3.2
First Grade,Hanoi,3,21,24,Failed,Failed,1.1428571428571428,2.3333333333333335
Third Grade,Hanoi,3,16,23,Failed,Failed,1.4375,1.7777777777777777
Fourth Grade,Hanoi,1,11,12,Failed,Failed,1.0909090909090908,2.75
Sixth Grade,Hanoi,2,17,17,Failed,Failed,1.0,3.4
Fourth Grade,Hanoi,2,12,46,Failed,Failed,3.8333333333333335,2.4
Third Grade,Hanoi,1,22,34,Failed,Failed,1.5454545454545454,5.5
Fourth Grade,Hanoi,3,22,31,Failed,Failed,1.4090909090909092,2.4444444444444446
Sixth Grade,Hanoi,2,20,40,Failed,Failed,2.0,4.0
Second Grade,Hanoi,3,15,47,Failed,Failed,3.1333333333333333,1.6666666666666667
First Grade,Hanoi,2,16,17,Failed,Failed,1.0625,3.2
Third Grade,Hanoi,1,17,33,Failed,Failed,1.9411764705882353,4.25
Sixth Grade,Hanoi,3,27,37,Failed,Failed,1.3703703703703705,3.0
Fifth Grade,Hanoi,2,18,44,Failed,Failed,2.4444444444444446,3.6
Fourth Grade,Hanoi,3,21,47,Failed,Failed,2.238095238095238,2.3333333333333335
Second Grade,Hanoi,2,14,43,Failed,Failed,3.0714285714285716,2.8
Fifth Grade,Hanoi,3,20,35,Failed,Failed,1.75,2.2222222222222223
First Grade,Hanoi,2,9,26,Failed,Failed,2.888888888888889,1.8
Fourth Grade,Hanoi,1,24,34,Failed,Failed,1.4166666666666667,6.0
Fifth Grade,Hanoi,2,22,30,Failed,Failed,1.3636363636363635,4.4
Sixth Grade,Hanoi,1,23,25,Failed,Failed,1.0869565217391304,5.75
Third Grade,Hanoi,1,4,14,Passed,Failed,3.5,1.0
Sixth Grade,Hanoi,1,4,9,Passed,Failed,2.25,1.0
Fourth Grade,Hanoi,2,11,21,Failed,Failed,1.9090909090909092,2.2
Second Grade,Hanoi,3,22,43,Failed,Failed,1.9545454545454546,2.4444444444444446
Second Grade,Hanoi,2,20,33,Failed,Failed,1.65,4.0
Fifth Grade,Hanoi,1,11,48,Failed,Failed,4.363636363636363,2.75
Fourth Grade,Hanoi,1,8,23,Failed,Failed,2.875,2.0
Fifth Grade,Hanoi,2,27,43,Failed,Failed,1.5925925925925926,5.4
Third Grade,Hanoi,2,9,28,Failed,Failed,3.111111111111111,1.8
Third Grade,Hanoi,2,18,44,Failed,Failed,2.4444444444444446,3.6
First Grade,Hanoi,2,17,23,Failed,Failed,1.3529411764705883,3.4
Third Grade,Hanoi,3,16,22,Failed,Failed,1.375,1.7777777777777777
Fifth Grade,Hanoi,2,27,50,Failed,Failed,1.8518518518518519,5.4
Fifth Grade,Hanoi,2,15,24,Failed,Failed,1.6,3.0
Second Grade,Hanoi,1,8,47,Failed,Failed,5.875,2.0
Fifth Grade,Hanoi,1,6,10,Failed,Failed,1.6666666666666667,1.5
Second Grade,Hanoi,1,11,34,Failed,Failed,3.090909090909091,2.75
Fifth Grade,Hanoi,1,21,45,Failed,Failed,2.142857142857143,5.25
Fifth Grade,Hanoi,1,9,46,Failed,Failed,5.111111111111111,2.25
Fourth Grade,Hanoi,1,5,17,Failed,Failed,3.4,1.25
Fifth Grade,Hanoi,3,20,37,Failed,Failed,1.85,2.2222222222222223
Second Grade,Hanoi,1,22,39,Failed,Failed,1.7727272727272727,5.5
Fourth Grade,Hanoi,3,17,35,Failed,Failed,2.0588235294117645,1.8888888888888888
Second Grade,Hanoi,2,23,37,Failed,Failed,1.608695652173913,4.6
Fourth Grade,Hanoi,2,9,16,Failed,Failed,1.7777777777777777,1.8
First Grade,Hanoi,1,8,11,Failed,Failed,1.375,2.0
Fifth Grade,Hanoi,2,8,24,Failed,Failed,3.0,1.6
Fifth Grade,Hanoi,2,8,49,Failed,Failed,6.125,1.6
Fifth Grade,Hanoi,2,11,37,Failed,Failed,3.3636363636363638,2.2
First Grade,Hanoi,2,26,46,Failed,Failed,1.7692307692307692,5.2
Third Grade,Hanoi,1,18,25,Failed,Failed,1.3888888888888888,4.5
First Grade,Hanoi,2,21,26,Failed,Failed,1.2380952380952381,4.2
Third Grade,Hanoi,1,12,41,Failed,Failed,3.4166666666666665,3.0
Sixth Grade,Hanoi,2,24,32,Failed,Failed,1.3333333333333333,4.8
Sixth Grade,Hanoi,3,19,35,Failed,Failed,1.8421052631578947,2.111111111111111
Sixth Grade,Hanoi,2,28,37,Failed,Failed,1.3214285714285714,5.6
Fourth Grade,Hanoi,1,12,49,Failed,Failed,4.083333333333333,3.0
Third Grade,Hanoi,1,25,32,Failed,Failed,1.28,6.25
Fifth Grade,Hanoi,2,12,30,Failed,Failed,2.5,2.4
Fifth Grade,Hanoi,1,9,17,Failed,Failed,1.8888888888888888,2.25
Fourth Grade,Hanoi,1,15,45,Failed,Failed,3.0,3.75
Fourth Grade,Hanoi,1,17,43,Failed,Failed,2.5294117647058822,4.25
First Grade,Hanoi,1,17,21,Failed,Failed,1.2352941176470589,4.25
Third Grade,Hanoi,1,28,46,Failed,Failed,1.6428571428571428,7.0
Second Grade,Hanoi,3,26,28,Failed,Failed,1.0769230769230769,2.888888888888889
Fourth Grade,Hanoi,1,5,27,Failed,Failed,5.4,1.25
Third Grade,Hanoi,3,27,44,Failed,Failed,1.6296296296296295,3.0
Third Grade,Hanoi,1,21,33,Failed,Failed,1.5714285714285714,5.25
Sixth Grade,Hanoi,3,16,19,Failed,Failed,1.1875,1.7777777777777777
First Grade,Hanoi,2,20,38,Failed,Failed,1.9,4.0
Third Grade,Hanoi,3,18,21,Failed,Failed,1.1666666666666667,2.0
Sixth Grade,Hanoi,1,28,35,Failed,Failed,1.25,7.0
Sixth Grade,Hanoi,1,13,30,Failed,Failed,2.3076923076923075,3.25
Sixth Grade,Hanoi,2,14,43,Failed,Failed,3.0714285714285716,2.8
Third Grade,Hanoi,2,21,47,Failed,Failed,2.238095238095238,4.2
Sixth Grade,Hanoi,3,21,31,Failed,Failed,1.4761904761904763,2.3333333333333335
Fourth Grade,Hanoi,1,3,50,Failed,Failed,16.666666666666668,0.75
Third Grade,Hanoi,3,23,26,Failed,Failed,1.1304347826086956,2.5555555555555554
Sixth Grade,Hanoi,2,26,46,Failed,Failed,1.7692307692307692,5.2
First Grade,Hanoi,2,24,38,Failed,Failed,1.5833333333333333,4.8
Third Grade,Hanoi,1,7,37,Failed,Failed,5.285714285714286,1.75
Third Grade,Hanoi,2,26,43,Failed,Failed,1.6538461538461537,5.2
Fourth Grade,Hanoi,3,27,47,Failed,Failed,1.7407407407407407,3.0
First Grade,Hanoi,3,15,27,Failed,Failed,1.8,1.6666666666666667
Third Grade,Hanoi,2,15,27,Failed,Failed,1.8,3.0
Third Grade,Hanoi,3,24,33,Failed,Failed,1.375,2.6666666666666665
Third Grade,Hanoi,2,15,21,Failed,Failed,1.4,3.0
First Grade,Hanoi,1,20,46,Failed,Failed,2.3,5.0
Fifth Grade,Hanoi,1,20,29,Failed,Failed,1.45,5.0
Third Grade,Hanoi,3,21,37,Failed,Failed,1.7619047619047619,2.3333333333333335
Fourth Grade,Hanoi,3,15,26,Failed,Failed,1.7333333333333334,1.6666666666666667
Second Grade,Hanoi,2,12,47,Failed,Failed,3.9166666666666665,2.4
Fourth Grade,Hanoi,1,7,15,Failed,Failed,2.142857142857143,1.75
Third Grade,Hanoi,2,13,28,Failed,Failed,2.1538461538461537,2.6
Second Grade,Hanoi,1,29,35,Failed,Failed,1.206896551724138,7.25
Sixth Grade,Hanoi,2,20,33,Failed,Failed,1.65,4.0
Sixth Grade,Hanoi,2,10,38,Failed,Failed,3.8,2.0
First Grade,Hanoi,1,24,27,Failed,Failed,1.125,6.0
Fourth Grade,Hanoi,1,17,37,Failed,Failed,2.176470588235294,4.25
Fourth Grade,Hanoi,2,7,7,Failed,Failed,1.0,1.4
Sixth Grade,Hanoi,2,19,47,Failed,Failed,2.473684210526316,3.8
Sixth Grade,Hanoi,1,23,23,Failed,Failed,1.0,5.75
Sixth Grade,Hanoi,2,17,45,Failed,Failed,2.6470588235294117,3.4
Second Grade,Hanoi,2,24,24,Failed,Failed,1.0,4.8
Fourth Grade,Hanoi,3,19,26,Failed,Failed,1.368421052631579,2.111111111111111
First Grade,Hanoi,1,24,43,Failed,Failed,1.7916666666666667,6.0
Sixth Grade,Hanoi,1,18,38,Failed,Failed,2.111111111111111,4.5
First Grade,Hanoi,1,18,34,Failed,Failed,1.8888888888888888,4.5
First Grade,Hanoi,1,5,32,Failed,Failed,6.4,1.25
Third Grade,Hanoi,2,19,22,Failed,Failed,1.1578947368421053,3.8
Fifth Grade,Hanoi,2,29,49,Failed,Failed,1.6896551724137931,5.8
Sixth Grade,Hanoi,1,29,41,Failed,Failed,1.4137931034482758,7.25
Fourth Grade,Hanoi,2,30,46,Failed,Failed,1.5333333333333334,6.0
Third Grade,Hanoi,1,23,50,Failed,Failed,2.1739130434782608,5.75
Fifth Grade,Hanoi,3,28,30,Failed,Failed,1.0714285714285714,3.111111111111111
Fourth Grade,Hanoi,3,25,38,Failed,Failed,1.52,2.7777777777777777
Fourth Grade,Hanoi,3,18,46,Failed,Failed,2.5555555555555554,2.0
Third Grade,Hanoi,2,19,28,Failed,Failed,1.4736842105263157,3.8
Sixth Grade,Hanoi,1,7,9,Failed,Failed,1.2857142857142858,1.75
Sixth Grade,Hanoi,2,10,41,Failed,Failed,4.1,2.0
Sixth Grade,Hanoi,3,23,45,Failed,Failed,1.9565217391304348,2.5555555555555554
Second Grade,Hanoi,2,7,29,Failed,Failed,4.142857142857143,1.4
Sixth Grade,Hanoi,1,9,26,Failed,Failed,2.888888888888889,2.25
Second Grade,Hanoi,1,4,28,Failed,Failed,7.0,1.0
Sixth Grade,Hanoi,1,8,44,Failed,Failed,5.5,2.0
Third Grade,Hanoi,2,30,41,Failed,Failed,1.3666666666666667,6.0
Third Grade,Hanoi,3,30,30,Failed,Failed,1.0,3.3333333333333335
Sixth Grade,Hanoi,2,16,46,Failed,Failed,2.875,3.2
Second Grade,Hanoi,1,21,41,Failed,Failed,1.9523809523809523,5.25
Second Grade,Hanoi,1,15,40,Failed,Failed,2.6666666666666665,3.75
Sixth Grade,Hanoi,1,7,47,Failed,Failed,6.714285714285714,1.75
Second Grade,Hanoi,2,18,34,Failed,Failed,1.8888888888888888,3.6
Sixth Grade,Hanoi,1,23,50,Failed,Failed,2.1739130434782608,5.75
Fifth Grade,Hanoi,2,25,39,Failed,Failed,1.56,5.0
First Grade,Hanoi,3,16,19,Failed,Failed,1.1875,1.7777777777777777
First Grade,Hanoi,2,20,44,Failed,Failed,2.2,4.0
Sixth Grade,Hanoi,1,22,31,Failed,Failed,1.4090909090909092,5.5
Second Grade,Hanoi,1,16,21,Failed,Failed,1.3125,4.0
Third Grade,Hanoi,2,13,26,Failed,Failed,2.0,2.6
Second Grade,Hanoi,3,21,22,Failed,Failed,1.0476190476190477,2.3333333333333335
Second Grade,Hanoi,1,21,46,Failed,Failed,2.1904761904761907,5.25
Fourth Grade,Hanoi,3,29,40,Failed,Failed,1.3793103448275863,3.2222222222222223
Sixth Grade,Hanoi,3,20,48,Failed,Failed,2.4,2.2222222222222223
Third Grade,Hanoi,2,9,24,Failed,Failed,2.6666666666666665,1.8
Fifth Grade,Hanoi,3,30,38,Failed,Failed,1.2666666666666666,3.3333333333333335
Fifth Grade,Hanoi,3,15,20,Failed,Failed,1.3333333333333333,1.6666666666666667
Fifth Grade,Hanoi,3,20,49,Failed,Failed,2.45,2.2222222222222223
First Grade,Hanoi,1,3,35,Failed,Failed,11.666666666666666,0.75
Sixth Grade,Hanoi,1,19,43,Failed,Failed,2.263157894736842,4.75
Fifth Grade,Hanoi,2,24,36,Failed,Failed,1.5,4.8
Third Grade,Hanoi,3,30,41,Failed,Failed,1.3666666666666667,3.3333333333333335
Sixth Grade,Hanoi,1,11,36,Failed,Failed,3.272727272727273,2.75
First Grade,Hanoi,1,10,39,Failed,Failed,3.9,2.5
Sixth Grade,Hanoi,3,15,37,Failed,Failed,2.466666666666667,1.6666666666666667
Second Grade,Hanoi,3,28,50,Failed,Failed,1.7857142857142858,3.111111111111111
Third Grade,Hanoi,1,22,37,Failed,Failed,1.6818181818181819,5.5
Second Grade,Hanoi,3,20,39,Failed,Failed,1.95,2.2222222222222223
Fifth Grade,Hanoi,1,14,46,Failed,Failed,3.2857142857142856,3.5
Sixth Grade,Hanoi,3,29,41,Failed,Failed,1.4137931034482758,3.2222222222222223
Fifth Grade,Hanoi,2,22,27,Failed,Failed,1.2272727272727273,4.4
Third Grade,Hanoi,1,21,41,Failed,Failed,1.9523809523809523,5.25
Third Grade,Hanoi,2,8,25,Failed,Failed,3.125,1.6
First Grade,Hanoi,2,29,42,Failed,Failed,1.4482758620689655,5.8
Fifth Grade,Hanoi,1,9,42,Failed,Failed,4.666666666666667,2.25
Fifth Grade,Hanoi,3,16,17,Failed,Failed,1.0625,1.7777777777777777
Fourth Grade,Hanoi,3,16,32,Failed,Failed,2.0,1.7777777777777777
First Grade,Hanoi,1,28,30,Failed,Failed,1.0714285714285714,7.0
Fifth Grade,Hanoi,3,30,39,Failed,Failed,1.3,3.3333333333333335
Second Grade,Hanoi,1,6,50,Failed,Failed,8.333333333333334,1.5
Third Grade,Hanoi,3,16,47,Failed,Failed,2.9375,1.7777777777777777
Third Grade,Hanoi,1,28,43,Failed,Failed,1.5357142857142858,7.0
First Grade,Hanoi,2,7,11,Failed,Failed,1.5714285714285714,1.4
Fifth Grade,Hanoi,1,14,23,Failed,Failed,1.6428571428571428,3.5
Fourth Grade,Hanoi,1,3,41,Failed,Failed,13.666666666666666,0.75
First Grade,Hanoi,2,18,31,Failed,Failed,1.7222222222222223,3.6
Sixth Grade,Hanoi,3,24,39,Failed,Failed,1.625,2.6666666666666665
Third Grade,Hanoi,2,12,13,Failed,Failed,1.0833333333333333,2.4
Fourth Grade,Hanoi,1,5,17,Failed,Failed,3.4,1.25
Third Grade,Hanoi,1,26,40,Failed,Failed,1.5384615384615385,6.5
Third Grade,Hanoi,2,16,19,Failed,Failed,1.1875,3.2
Fourth Grade,Hanoi,1,25,46,Failed,Failed,1.84,6.25
Sixth Grade,Hanoi,2,23,24,Failed,Failed,1.0434782608695652,4.6
Second Grade,Hanoi,1,14,38,Failed,Failed,2.7142857142857144,3.5
Second Grade,Hanoi,2,13,20,Failed,Failed,1.5384615384615385,2.6
First Grade,Hanoi,2,21,31,Failed,Failed,1.4761904761904763,4.2
Sixth Grade,Hanoi,2,14,22,Failed,Failed,1.5714285714285714,2.8
First Grade,Hanoi,2,30,32,Failed,Failed,1.0666666666666667,6.0
Sixth Grade,Hanoi,1,3,44,Failed,Failed,14.666666666666666,0.75
Sixth Grade,Hanoi,1,6,25,Failed,Failed,4.166666666666667,1.5
First Grade,Hanoi,1,10,35,Failed,Failed,3.5,2.5
Fourth Grade,Hanoi,1,17,25,Failed,Failed,1.4705882352941178,4.25
Fourth Grade,Hanoi,3,28,39,Failed,Failed,1.3928571428571428,3.111111111111111
Fifth Grade,Hanoi,3,19,29,Failed,Failed,1.5263157894736843,2.111111111111111
Second Grade,Hanoi,1,8,48,Failed,Failed,6.0,2.0
Second Grade,Hanoi,2,28,29,Failed,Failed,1.0357142857142858,5.6
First Grade,Hanoi,2,20,20,Failed,Failed,1.0,4.0
Second Grade,Hanoi,2,19,48,Failed,Failed,2.526315789473684,3.8
Sixth Grade,Hanoi,1,13,14,Failed,Failed,1.0769230769230769,3.25
Second Grade,Hanoi,1,26,26,Failed,Failed,1.0,6.5
Second Grade,Hanoi,1,29,48,Failed,Failed,1.6551724137931034,7.25
Sixth Grade,Hanoi,1,14,39,Failed,Failed,2.7857142857142856,3.5
Fifth Grade,Hanoi,3,25,42,Failed,Failed,1.68,2.7777777777777777
Third Grade,Hanoi,2,10,38,Failed,Failed,3.8,2.0
First Grade,Hanoi,1,27,39,Failed,Failed,1.4444444444444444,6.75
Sixth Grade,Hanoi,2,12,32,Failed,Failed,2.6666666666666665,2.4
Second Grade,Hanoi,2,17,50,Failed,Failed,2.9411764705882355,3.4
Fourth Grade,Hanoi,3,24,24,Failed,Failed,1.0,2.6666666666666665
Sixth Grade,Hanoi,1,7,8,Failed,Failed,1.1428571428571428,1.75
Third Grade,Hanoi,2,11,31,Failed,Failed,2.8181818181818183,2.2
Second Grade,Hanoi,2,18,36,Failed,Failed,2.0,3.6
Third Grade,Hanoi,2,10,22,Failed,Failed,2.2,2.0
Second Grade,Hanoi,3,24,45,Failed,Failed,1.875,2.6666666666666665
First Grade,Hanoi,1,11,40,Failed,Failed,3.6363636363636362,2.75
Sixth Grade,Hanoi,1,15,39,Failed,Failed,2.6,3.75
Fifth Grade,Hanoi,1,5,9,Failed,Failed,1.8,1.25
First Grade,Hanoi,2,13,34,Failed,Failed,2.6153846153846154,2.6
Sixth Grade,Hanoi,2,22,43,Failed,Failed,1.9545454545454546,4.4
Fourth Grade,Hanoi,2,7,26,Failed,Failed,3.7142857142857144,1.4
Fourth Grade,Hanoi,1,9,45,Failed,Failed,5.0,2.25
First Grade,Hanoi,3,22,38,Failed,Failed,1.7272727272727273,2.4444444444444446
Fifth Grade,Hanoi,2,26,50,Failed,Failed,1.9230769230769231,5.2
Second Grade,Hanoi,2,10,29,Failed,Failed,2.9,2.0
Fourth Grade,Hanoi,3,24,49,Failed,Failed,2.0416666666666665,2.6666666666666665
Fourth Grade,Hanoi,3,16,34,Failed,Failed,2.125,1.7777777777777777
First Grade,Hanoi,2,11,47,Failed,Failed,4.2727272727272725,2.2
First Grade,Hanoi,1,11,23,Failed,Failed,2.090909090909091,2.75
Sixth Grade,Hanoi,2,19,34,Failed,Failed,1.7894736842105263,3.8
Fourth Grade,Hanoi,2,12,41,Failed,Failed,3.4166666666666665,2.4
Sixth Grade,Hanoi,1,3,22,Failed,Failed,7.333333333333333,0.75
Fifth Grade,Hanoi,1,4,24,Failed,Failed,6.0,1.0
Third Grade,Hanoi,3,25,39,Failed,Failed,1.56,2.7777777777777777
Fourth Grade,Hanoi,1,12,40,Failed,Failed,3.3333333333333335,3.0
Sixth Grade,Hanoi,1,8,43,Failed,Failed,5.375,2.0
Fifth Grade,Hanoi,3,24,39,Failed,Failed,1.625,2.6666666666666665
Third Grade,Hanoi,1,7,39,Failed,Failed,5.571428571428571,1.75
Sixth Grade,Hanoi,3,21,39,Failed,Failed,1.8571428571428572,2.3333333333333335
Third Grade,Hanoi,1,8,36,Failed,Failed,4.5,2.0
Fourth Grade,Hanoi,2,9,9,Failed,Failed,1.0,1.8
Second Grade,Hanoi,3,25,45,Failed,Failed,1.8,2.7777777777777777
First Grade,Hanoi,1,6,24,Failed,Failed,4.0,1.5
Fifth Grade,Hanoi,1,20,25,Failed,Failed,1.25,5.0
Fifth Grade,Hanoi,3,24,29,Failed,Failed,1.2083333333333333,2.6666666666666665
Sixth Grade,Hanoi,1,5,48,Failed,Failed,9.6,1.25
Third Grade,Hanoi,1,30,34,Failed,Failed,1.1333333333333333,7.5
Third Grade,Hanoi,3,17,21,Failed,Failed,1.2352941176470589,1.8888888888888888
Third Grade,Hanoi,2,25,29,Failed,Failed,1.16,5.0
Second Grade,Hanoi,1,22,27,Failed,Failed,1.2272727272727273,5.5
Fourth Grade,Hanoi,1,9,26,Failed,Failed,2.888888888888889,2.25
Second Grade,Hanoi,1,23,49,Failed,Failed,2.130434782608696,5.75
Sixth Grade,Hanoi,1,14,21,Failed,Failed,1.5,3.5
First Grade,Hanoi,2,15,36,Failed,Failed,2.4,3.0
Fourth Grade,Hanoi,1,25,33,Failed,Failed,1.32,6.25
Third Grade,Hanoi,1,25,50,Failed,Failed,2.0,6.25
Fourth Grade,Hanoi,3,19,33,Failed,Failed,1.736842105263158,2.111111111111111
Fifth Grade,Hanoi,2,7,19,Failed,Failed,2.7142857142857144,1.4
Third Grade,Hanoi,1,19,38,Failed,Failed,2.0,4.75
Second Grade,Hanoi,3,27,33,Failed,Failed,1.2222222222222223,3.0
